sample,fastq_1,fastq_2,antibody,control
Input_KO_REP2,/media/mna_bioinfo/MNA2_Stockage/FABIEN_LEGRAND/PAULINE_GARCIA/chipseq/transfer_6412495_files_71e4e46a/FIXED/Input_KO5_S19_L002_R1_001.fastq.gz,/media/mna_bioinfo/MNA2_Stockage/FABIEN_LEGRAND/PAULINE_GARCIA/chipseq/transfer_6412495_files_71e4e46a/FIXED/Input_KO5_S19_L002_R2_001.fastq.gz,,
Input_KO_REP2,/media/mna_bioinfo/MNA2_Stockage/FABIEN_LEGRAND/PAULINE_GARCIA/chipseq/transfer_6412495_files_71e4e46a/FIXED/Input_KO5_S19_L003_R1_001.fastq.gz,/media/mna_bioinfo/MNA2_Stockage/FABIEN_LEGRAND/PAULINE_GARCIA/chipseq/transfer_6412495_files_71e4e46a/FIXED/Input_KO5_S19_L003_R2_001.fastq.gz,,
Input_KO_REP2,/media/mna_bioinfo/MNA2_Stockage/FABIEN_LEGRAND/PAULINE_GARCIA/chipseq/transfer_6412495_files_71e4e46a/FIXED/Input_KO5_S19_L004_R1_001.fastq.gz,/media/mna_bioinfo/MNA2_Stockage/FABIEN_LEGRAND/PAULINE_GARCIA/chipseq/transfer_6412495_files_71e4e46a/FIXED/Input_KO5_S19_L004_R2_001.fastq.gz,,
Input_WT_REP1,/media/mna_bioinfo/MNA2_Stockage/FABIEN_LEGRAND/PAULINE_GARCIA/chipseq/transfer_6412495_files_71e4e46a/FIXED/Input_WT1_S13_L001_R1_001.fastq.gz,/media/mna_bioinfo/MNA2_Stockage/FABIEN_LEGRAND/PAULINE_GARCIA/chipseq/transfer_6412495_files_71e4e46a/FIXED/Input_WT1_S13_L001_R2_001.fastq.gz,,
Input_WT_REP1,/media/mna_bioinfo/MNA2_Stockage/FABIEN_LEGRAND/PAULINE_GARCIA/chipseq/transfer_6412495_files_71e4e46a/FIXED/Input_WT1_S13_L002_R1_001.fastq.gz,/media/mna_bioinfo/MNA2_Stockage/FABIEN_LEGRAND/PAULINE_GARCIA/chipseq/transfer_6412495_files_71e4e46a/FIXED/Input_WT1_S13_L002_R2_001.fastq.gz,,
Input_WT_REP1,/media/mna_bioinfo/MNA2_Stockage/FABIEN_LEGRAND/PAULINE_GARCIA/chipseq/transfer_6412495_files_71e4e46a/FIXED/Input_WT1_S13_L003_R1_001.fastq.gz,/media/mna_bioinfo/MNA2_Stockage/FABIEN_LEGRAND/PAULINE_GARCIA/chipseq/transfer_6412495_files_71e4e46a/FIXED/Input_WT1_S13_L003_R2_001.fastq.gz,,
Input_WT_REP1,/media/mna_bioinfo/MNA2_Stockage/FABIEN_LEGRAND/PAULINE_GARCIA/chipseq/transfer_6412495_files_71e4e46a/FIXED/Input_WT1_S13_L004_R1_001.fastq.gz,/media/mna_bioinfo/MNA2_Stockage/FABIEN_LEGRAND/PAULINE_GARCIA/chipseq/transfer_6412495_files_71e4e46a/FIXED/Input_WT1_S13_L004_R2_001.fastq.gz,,
Input_WT_REP2,/media/mna_bioinfo/MNA2_Stockage/FABIEN_LEGRAND/PAULINE_GARCIA/chipseq/transfer_6412495_files_71e4e46a/FIXED/Input_WT5_S17_L001_R1_001.fastq.gz,/media/mna_bioinfo/MNA2_Stockage/FABIEN_LEGRAND/PAULINE_GARCIA/chipseq/transfer_6412495_files_71e4e46a/FIXED/Input_WT5_S17_L001_R2_001.fastq.gz,,
Input_WT_REP2,/media/mna_bioinfo/MNA2_Stockage/FABIEN_LEGRAND/PAULINE_GARCIA/chipseq/transfer_6412495_files_71e4e46a/FIXED/Input_WT5_S17_L002_R1_001.fastq.gz,/media/mna_bioinfo/MNA2_Stockage/FABIEN_LEGRAND/PAULINE_GARCIA/chipseq/transfer_6412495_files_71e4e46a/FIXED/Input_WT5_S17_L002_R2_001.fastq.gz,,
Input_WT_REP2,/media/mna_bioinfo/MNA2_Stockage/FABIEN_LEGRAND/PAULINE_GARCIA/chipseq/transfer_6412495_files_71e4e46a/FIXED/Input_WT5_S17_L003_R1_001.fastq.gz,/media/mna_bioinfo/MNA2_Stockage/FABIEN_LEGRAND/PAULINE_GARCIA/chipseq/transfer_6412495_files_71e4e46a/FIXED/Input_WT5_S17_L003_R2_001.fastq.gz,,
Input_WT_REP2,/media/mna_bioinfo/MNA2_Stockage/FABIEN_LEGRAND/PAULINE_GARCIA/chipseq/transfer_6412495_files_71e4e46a/FIXED/Input_WT5_S17_L004_R1_001.fastq.gz,/media/mna_bioinfo/MNA2_Stockage/FABIEN_LEGRAND/PAULINE_GARCIA/chipseq/transfer_6412495_files_71e4e46a/FIXED/Input_WT5_S17_L004_R2_001.fastq.gz,,
